question_id,poll_id,race_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,partisan,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,start_date,end_date,sponsor_candidate,tracking,nationwide_batch,created_at,notes,url,stage,dem,rep,ind
148863,77170,8990,2022,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1303,rv,rv,Online,U.S. House,,10/30/21,11/2/21,"",,false,11/3/21 09:37,,https://docs.cdn.yougov.com/qwffht37bk/econTabReport.pdf,general,44.0,37.0,
148835,77166,8990,2022,,1189,Morning Consult,"","",,Morning Consult,218,Morning Consult,B,1996,rv,rv,Online,U.S. House,,10/29/21,11/1/21,"",,false,11/2/21 09:36,,https://assets.morningconsult.com/wp-uploads/2021/11/02070634/2110196_crosstabs_POLITICO_RVs_v1_LM.pdf,general,42.0,42.0,
148899,77168,8990,2022,,1508,Harris Insights & Analytics,763,Harvard,,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. House,,10/26/21,10/28/21,"",,false,11/3/21 12:03,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,42.0,45.0,
148624,77050,8990,2022,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1261,rv,rv,Online,U.S. House,,10/24/21,10/26/21,"",,false,10/27/21 09:40,,https://docs.cdn.yougov.com/qwffht37bk/econTabReport.pdf,general,44.0,38.0,
148793,77149,8990,2022,,736,NBC News/The Wall Street Journal,"","",,NBC News,221,NBC News/The Wall Street Journal,B+,820,rv,rv,Live Phone,U.S. House,,10/23/21,10/26/21,"",,false,10/31/21 12:36,,https://www.nbcnews.com/politics/meet-the-press/biden-s-job-rating-sinks-42-percent-nbc-news-poll-n1282781,general,47.0,45.0,
148597,77048,8990,2022,,1189,Morning Consult,538,Politico,,Morning Consult,218,Morning Consult,B,1999,rv,rv,Online,U.S. House,,10/22/21,10/24/21,"",,false,10/27/21 08:36,,https://assets.morningconsult.com/wp-uploads/2021/10/27074729/2110134_crosstabs_POLITICO_RVs_v2_SH.pdf,general,44.0,42.0,
148810,77150,8990,2022,,1205,Marist College,"373,765",NPR | PBS NewsHour,,Marist College,183,Marist College,A,1032,rv,rv,Live Phone,U.S. House,,10/18/21,10/22/21,"",,false,11/1/21 09:34,,https://maristpoll.marist.edu/polls/npr-pbs-newshour-marist-national-poll-trust-in-elections-threat-to-democracy-biden-approval-november-2021/,general,44.0,41.0,
146803,77029,8990,2022,,568,YouGov,1213,Yahoo News,,YouGov,391,YouGov,B+,1704,a,a,Online,U.S. House,,10/19/21,10/21/21,"",,false,10/25/21 15:38,,https://docs.cdn.yougov.com/4i6a6olite/20211021_yahoo_vaccine_tabs.pdf,general,37.0,32.0,
146584,76904,8990,2022,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1268,rv,rv,Online,U.S. House,,10/16/21,10/19/21,"",,false,10/20/21 10:35,,https://docs.cdn.yougov.com/mzvq4c7ty8/econTabReport.pdf,general,42.0,37.0,
146616,76908,8990,2022,,1302,Echelon Insights,"","",,Echelon Insights,407,Echelon Insights,B/C,1098,rv,rv,Online,U.S. House,,10/15/21,10/19/21,"",,false,10/20/21 17:04,,https://echeloninsights.com/in-the-news/october-omnibus-political/,general,46.0,42.0,
146617,76908,8990,2022,,1302,Echelon Insights,"","",,Echelon Insights,407,Echelon Insights,B/C,915,lv,lv,Online,U.S. House,,10/15/21,10/19/21,"",,false,10/20/21 17:04,,https://echeloninsights.com/in-the-news/october-omnibus-political/,general,46.0,45.0,
146560,76896,8990,2022,,1189,Morning Consult,538,Politico,,Morning Consult,218,Morning Consult,B,1998,rv,rv,Online,U.S. House,,10/16/21,10/18/21,"",,false,10/20/21 06:48,,https://assets.morningconsult.com/wp-uploads/2021/10/20054637/2110084_crosstabs_POLITICO_RVs_v1_SH.pdf,general,45.0,40.0,
146595,76905,8990,2022,,294,McLaughlin & Associates,"","",,McLaughlin & Associates,203,McLaughlin & Associates,C/D,1000,lv,lv,Online,U.S. House,,10/14/21,10/18/21,"",,false,10/20/21 12:08,,https://mclaughlinonline.com/pols/wp-content/uploads/2021/10/National-Monthly-October-Release.pdf,general,47.0,48.0,
146638,76912,8990,2022,,1510,NBC News/The Wall Street Journal,620,CNBC All-America Economic Survey,,CNBC/Hart Research/Public Opinion Strategies,221,NBC News/The Wall Street Journal,B+,800,a,a,Live Phone,U.S. House,,10/14/21,10/17/21,"",,false,10/21/21 10:10,,https://www.cnbc.com/video/2021/10/21/cnbcs-all-america-economic-survey-bidens-approval-rating-plummets.html,general,43.0,41.0,
146435,76823,8990,2022,,1554,RMG Research,"","",,RMG Research,555,RMG Research,B-,1200,rv,rv,IVR/Online/Text,U.S. House,,10/11/21,10/13/21,"",,false,10/15/21 10:51,,https://scottrasmussen.com/generic-ballot-republicans-41-democrats-40/,general,40.0,41.0,
146334,76756,8990,2022,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1266,rv,rv,Online,U.S. House,,10/9/21,10/12/21,"",,false,10/13/21 09:47,,https://docs.cdn.yougov.com/h2rgoa7a3x/econTabReport.pdf,general,45.0,37.0,
146309,76754,8990,2022,,1189,Morning Consult,538,Politico,,Morning Consult,218,Morning Consult,B,1999,rv,rv,Online,U.S. House,,10/8/21,10/11/21,"",,false,10/13/21 09:03,,https://assets.morningconsult.com/wp-uploads/2021/10/13064013/2110042_crosstabs_POLITICO_RVs_v2_SH.pdf,general,43.0,41.0,
146112,76617,8990,2022,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1261,rv,rv,Online,U.S. House,,10/3/21,10/5/21,"",,false,10/6/21 09:30,,https://docs.cdn.yougov.com/j46zs8picp/econTabReport.pdf,general,43.0,36.0,
146089,76615,8990,2022,,1189,Morning Consult,538,Politico,,Morning Consult,218,Morning Consult,B,1998,rv,rv,Online,U.S. House,,10/2/21,10/4/21,"",,false,10/6/21 08:59,,https://www.politico.com/f/?id=0000017c-5392-d47e-ab7e-dfb2c5590000,general,43.0,42.0,
146076,76611,8990,2022,,396,Quinnipiac University,"","",,Quinnipiac University,267,Quinnipiac University,A-,1326,a,a,Live Phone,U.S. House,,10/1/21,10/4/21,"",,false,10/5/21 15:58,,https://poll.qu.edu/poll-release?releaseid=3823,general,43.0,46.0,
146077,76611,8990,2022,,396,Quinnipiac University,"","",,Quinnipiac University,267,Quinnipiac University,A-,1177,rv,rv,Live Phone,U.S. House,,10/1/21,10/4/21,"",,false,10/5/21 15:58,,https://poll.qu.edu/poll-release?releaseid=3823,general,44.0,47.0,
146229,76619,8990,2022,,568,YouGov,1213,Yahoo News,,YouGov,391,YouGov,B+,1640,a,a,Online,U.S. House,,10/1/21,10/4/21,"",,false,10/8/21 13:58,,https://docs.cdn.yougov.com/a6ira9rwv9/20211001_yahoo_vaccine_tabs.pdf,general,37.0,31.0,
148814,77151,8990,2022,,916,Public Religion Research Institute,"","",,Public Religion Research Institute,428,Public Religion Research Institute,A/B,2508,a,a,Online,U.S. House,,9/16/21,9/29/21,"",,false,11/1/21 09:37,,https://www.prri.org/research/competing-visions-of-america-an-evolving-identity-or-a-culture-under-attack/,general,37.0,29.0,
145879,76511,8990,2022,,568,YouGov,352,Economist,,YouGov,391,YouGov,B+,1246,rv,rv,Online,U.S. House,,9/26/21,9/28/21,"",,false,9/29/21 09:52,,https://docs.cdn.yougov.com/h4zvi2yb6c/econTabReport.pdf,general,52.0,48.0,
145864,76468,8990,2022,,1189,Morning Consult,538,Politico,,Morning Consult,218,Morning Consult,B,1999,rv,rv,Online,U.S. House,,9/24/21,9/27/21,"",,false,9/29/21 08:55,,https://assets.morningconsult.com/wp-uploads/2021/09/29071926/2109161_crosstabs_POLITICO_RVs_v1_SH-2.pdf,general,45.0,41.0,
145985,76556,8990,2022,,1205,Marist College,"373,765",NPR | PBS NewsHour,,Marist College,183,Marist College,A,1029,rv,rv,Live Phone,U.S. House,,9/20/21,9/26/21,"",,false,9/30/21 12:08,,https://maristpoll.marist.edu/wp-content/uploads/2021/09/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_PLCV_202109271420.pdf,general,46.0,38.0,
146066,76608,8990,2022,,1693,Lake Research Partners/Emerson College,1595,All in Together,,Lake Research Partners/Emerson College,689,Lake Research Partners/Emerson College,,1000,rv,rv,IVR/Online/Text,U.S. House,,9/22/21,9/24/21,"",,false,10/4/21 10:39,,https://aitogether.org/wp-content/uploads/2021/10/MEMO_9.28.21_AIT.pdf,general,45.0,41.0,
