question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
148829,77164,2021,Virginia,1478,Research Co.,"","",Research Co.,449,Research Co.,B-,450,lv,lv,Online,Governor,0,,10/31/21,11/1/21,11/2/21,"",false,,,false,false,11/1/21 20:14,"",https://researchco.ca/2021/11/01/state-races-2021/,general,8989,McAuliffe,21377,Terry R. McAuliffe,DEM,47.0
148829,77164,2021,Virginia,1478,Research Co.,"","",Research Co.,449,Research Co.,B-,450,lv,lv,Online,Governor,0,,10/31/21,11/1/21,11/2/21,"",false,,,false,false,11/1/21 20:14,"",https://researchco.ca/2021/11/01/state-races-2021/,general,8989,Youngkin,21376,Glenn Youngkin,REP,48.0
148829,77164,2021,Virginia,1478,Research Co.,"","",Research Co.,449,Research Co.,B-,450,lv,lv,Online,Governor,0,,10/31/21,11/1/21,11/2/21,"",false,,,false,false,11/1/21 20:14,"",https://researchco.ca/2021/11/01/state-races-2021/,general,8989,Blanding,28573,Princess Blanding,OTH,2.0
148830,77165,2021,New Jersey,1478,Research Co.,"","",Research Co.,449,Research Co.,B-,450,lv,lv,Online,Governor,0,,10/31/21,11/1/21,11/2/21,"",false,,,false,false,11/1/21 20:14,"",https://researchco.ca/2021/11/01/state-races-2021/,general,8988,Murphy,20855,Philip Murphy,DEM,50.0
148830,77165,2021,New Jersey,1478,Research Co.,"","",Research Co.,449,Research Co.,B-,450,lv,lv,Online,Governor,0,,10/31/21,11/1/21,11/2/21,"",false,,,false,false,11/1/21 20:14,"",https://researchco.ca/2021/11/01/state-races-2021/,general,8988,Ciattarelli,20856,Jack M. Ciattarelli,REP,44.0
148828,77163,2021,Virginia,1477,Targoz Market Research,"","",Targoz Market Research,454,Targoz Market Research,B/C,747,lv,lv,Online,Governor,0,,10/26/21,11/1/21,11/2/21,"",false,,,false,false,11/1/21 20:14,"",https://www.pollsmartmr.com/latest-polls-1/mcauliffe-up-3-percent-over-republican-glenn-youngkin-in-virginia-governors-race,general,8989,McAuliffe,21377,Terry R. McAuliffe,DEM,50.0
148828,77163,2021,Virginia,1477,Targoz Market Research,"","",Targoz Market Research,454,Targoz Market Research,B/C,747,lv,lv,Online,Governor,0,,10/26/21,11/1/21,11/2/21,"",false,,,false,false,11/1/21 20:14,"",https://www.pollsmartmr.com/latest-polls-1/mcauliffe-up-3-percent-over-republican-glenn-youngkin-in-virginia-governors-race,general,8989,Youngkin,21376,Glenn Youngkin,REP,47.0
148818,77155,2021,Virginia,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,1081,lv,lv,IVR/Online/Text/Live Phone,Governor,0,,10/29/21,10/31/21,11/2/21,"",false,REP,,false,false,11/1/21 12:08,"",https://www.thetrafalgargroup.org/news/va-gov-gen-1101/,general,8989,McAuliffe,21377,Terry R. McAuliffe,DEM,47.1
148818,77155,2021,Virginia,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,1081,lv,lv,IVR/Online/Text/Live Phone,Governor,0,,10/29/21,10/31/21,11/2/21,"",false,REP,,false,false,11/1/21 12:08,"",https://www.thetrafalgargroup.org/news/va-gov-gen-1101/,general,8989,Youngkin,21376,Glenn Youngkin,REP,49.4
148820,77158,2021,New Jersey,1250,Trafalgar Group,"","",Trafalgar Group,338,Trafalgar Group,A-,1085,lv,lv,IVR/Online/Text/Live Phone,Governor,0,,10/29/21,10/31/21,11/2/21,"",false,REP,,false,false,11/1/21 13:40,"",https://www.thetrafalgargroup.org/news/nj-gov-gen-1101/,general,8988,Murphy,20855,Philip Murphy,DEM,49.4
