question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
148910,77173,2024,Wisconsin,1075,Marquette University Law School,"","",Marquette Law School,195,Marquette University Law School,A/B,805,rv,rv,Live Phone,U.S. President,0,,10/26/21,10/31/21,11/5/24,"",false,,,false,false,11/3/21 14:19,"",https://law.marquette.edu/poll/2021/11/03/detailed-results-of-the-marquette-law-school-poll-october-26-31-2021/,general,8905,Biden,19368,Joe Biden,DEM,45.0
148910,77173,2024,Wisconsin,1075,Marquette University Law School,"","",Marquette Law School,195,Marquette University Law School,A/B,805,rv,rv,Live Phone,U.S. President,0,,10/26/21,10/31/21,11/5/24,"",false,,,false,false,11/3/21 14:19,"",https://law.marquette.edu/poll/2021/11/03/detailed-results-of-the-marquette-law-school-poll-october-26-31-2021/,general,8905,Trump Sr.,16651,Donald Trump,REP,41.0
148839,77168,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. President,0,,10/26/21,10/28/21,11/5/24,"",false,,,false,false,11/2/21 11:58,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,8914,Biden,19368,Joe Biden,DEM,45.0
148839,77168,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. President,0,,10/26/21,10/28/21,11/5/24,"",false,,,false,false,11/2/21 11:58,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,8914,Trump Sr.,16651,Donald Trump,REP,46.0
148894,77168,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. President,0,,10/26/21,10/28/21,11/5/24,"",false,,,false,false,11/3/21 11:14,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,8914,Harris,16661,Kamala Harris,DEM,40.0
148894,77168,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. President,0,,10/26/21,10/28/21,11/5/24,"",false,,,false,false,11/3/21 11:14,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,8914,DeSantis,16646,Ron DeSantis,REP,42.0
148895,77168,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. President,0,,10/26/21,10/28/21,11/5/24,"",false,,,false,false,11/3/21 11:14,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,8914,Harris,16661,Kamala Harris,DEM,39.0
148895,77168,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. President,0,,10/26/21,10/28/21,11/5/24,"",false,,,false,false,11/3/21 11:14,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,8914,T. Scott,16648,Tim Scott,REP,42.0
148896,77168,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. President,0,,10/26/21,10/28/21,11/5/24,"",false,,,false,false,11/3/21 11:14,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,8914,Harris,16661,Kamala Harris,DEM,41.0
148896,77168,2024,,1508,Harris Insights & Analytics,763,Harvard,Harris Poll,133,Harris Insights & Analytics,B+,1578,rv,rv,Online,U.S. President,0,,10/26/21,10/28/21,11/5/24,"",false,,,false,false,11/3/21 11:14,"",https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/f5e7728d-554a-39d2-2939-8c4849d081c6/HHP_October_12PM_vF.pdf,general,8914,Pompeo,16652,Mike Pompeo,REP,41.0
